model,horizon,feature_set,mode,feature,members,baseline_f1,knockout_f1,importance,is_thyroid,cache_key
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Angiography,Angiography,0.7179349889506528,0.7011045261967771,1.0240056398511281,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,PostIsch_DCM,PostIsch_DCM,0.7179349889506528,0.7026070967429754,1.0218157378124015,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Diabetes,Diabetes,0.7179349889506528,0.7102221951417662,1.010859691321456,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Acute_MI,Acute_MI,0.7179349889506528,0.7102652757666204,1.0107983783604713,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Previous_CABG,Previous_CABG,0.7179349889506528,0.7119761065413239,1.0083694977325521,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Previous_MI,Previous_MI,0.7179349889506528,0.7123637713761548,1.007820748048059,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Previous_PCI,Previous_PCI,0.7179349889506528,0.7132797250015346,1.0065265614399852,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Smoke,Smoke,0.7179349889506528,0.7192512259478671,0.9981699899148873,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Hypertension,Hypertension,0.7179349889506528,0.7192512259478671,0.9981699899148873,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_ABNORMAL_BIN,single,Ischemia,Ischemia,0.7179349889506528,0.7243328100470958,0.9911672907706237,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,multi,cluster_2,"Previous_CABG, Previous_PCI, Previous_MI, PostIsch_DCM, fe",0.7626925222017247,0.6544179240046425,1.1654517613675783,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,multi,cluster_3,"Gender, Age, Smoke",0.7626925222017247,0.6741494142192265,1.1313404804853913,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,multi,cluster_1,"Angina, Angiography, Vessels, Ischemia, Dyslipidemia, AFib",0.7626925222017247,0.7047049983899245,1.0822862388436114,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,multi,cluster_5,Diabetes,0.7626925222017247,0.7517071748475874,1.014613865241295,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,multi,cluster_4,Hypertension,0.7626925222017247,0.7552991299726266,1.009788694221541,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,multi,cluster_6,Acute_MI,0.7626925222017247,0.7579298142781161,1.0062838376771663,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,multi,cluster_7,thyroid_ord,0.7626925222017247,0.7626925222017247,1.0,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Age,Age,0.7626925222017247,0.6618335880328501,1.152393193685825,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,fe,fe,0.7626925222017247,0.6886432814208457,1.1075291704408945,False,1d225cfbcbdb0d4d706d
