horizon,feature_set,model,scheme,f1_macro,roc_auc,precision_1,recall_1,precision_0,recall_0,brier,threshold,f1_macro_std,roc_auc_std,precision_1_std,recall_1_std,precision_0_std,recall_0_std,brier_std,threshold_std,cache_key
7,CV17_THY_CONT_STATES,GradientBoosting,A_5fold_cv,0.7256275336158305,0.8382450773135431,0.5584781797412982,0.5598971541279234,0.8955947988507804,0.8939915373765868,0.1494487224293441,0.664,0.0194244264694532,0.0177189235059373,0.0289192207974662,0.0717368885826039,0.0135509489507737,0.0201733123179732,0.0052180130042815,0.0357770876399966,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,GradientBoosting,B_60_20_20,0.7521345537355475,0.8371898054996645,0.5976331360946746,0.6011904761904762,0.9055007052186178,0.904225352112676,0.146578953282164,0.66,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,XGBoost,A_5fold_cv,0.705457110962452,0.8160949992356977,0.5055589203033538,0.5718160045083123,0.895565711435758,0.8646810623969486,0.1350535468516816,0.496,0.0101853763832374,0.0203529067667766,0.0284686328941842,0.095869113460946,0.0178855039558775,0.0374701124927551,0.0063669560757345,0.0766811580507232,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,XGBoost,B_60_20_20,0.7112263664405889,0.8217471495640509,0.4975369458128079,0.6011904761904762,0.9007407407407408,0.856338028169014,0.128973804454738,0.48,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,ENSEMBLE,A_5fold_cv,0.7289774730179929,0.8447604964041181,0.5385595304321737,0.6074034939419555,0.9040907258536276,0.8753972069369673,0.1414117591317331,0.524,0.0183251006408525,0.0155711597894859,0.0330027897899067,0.0731889257767782,0.0150746465724564,0.0232347156512043,0.0033486942195962,0.0328633534503099,85033eaf7973736b5b9a
7,CV17_THY_CONT_STATES,ENSEMBLE,B_60_20_20,0.7361968142354882,0.8449027498323274,0.6214285714285714,0.5178571428571429,0.8902439024390244,0.9253521126760564,0.1392191879918971,0.58,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,LogisticRegression,A_5fold_cv,0.7249317825414086,0.8402006252496772,0.5320875630711333,0.6061003099464638,0.903240000936272,0.8705806631041538,0.1617064422592334,0.6519999999999999,0.0232661186854565,0.0154074770787048,0.0501140689884277,0.0651310576788132,0.0120386407855694,0.0344781104608511,0.0047877296206421,0.0501996015920445,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,LogisticRegression,B_60_20_20,0.7451378809869376,0.8386988598256203,0.6050955414012739,0.5654761904761905,0.8987517337031901,0.9126760563380282,0.1606498426561201,0.7,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,RandomForest,A_5fold_cv,0.7096063736615361,0.8196946078649591,0.5010752786113756,0.601246830092984,0.9010026138766214,0.8553495301853434,0.121049681093394,0.388,0.0217867413957583,0.0191948585569109,0.0375051628609023,0.0932165403174306,0.0169456917483564,0.0365382223448853,0.0064804671910275,0.0414728827066554,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,RandomForest,B_60_20_20,0.7374462309939502,0.8313296445338698,0.5739644970414202,0.5773809523809523,0.8998589562764457,0.8985915492957747,0.1161212984054669,0.44,,,,,,,,,85033eaf7973736b5b9a
