horizon,feature_set,ensemble,threshold,n_flagged,flagged_fraction,true_positives,false_positives,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,degenerate
10,CV17_THY_STATES,diverse,0.5,202,0.3862332695984704,144,58,0.1644359464627151,-0.26577437858508596,0.0,False
10,CV17_THY_CONT_STATES,paper,0.1,378,0.722753346080306,185,193,0.3127257276396856,0.2967920118971744,0.0,False
10,CV17_THY_CONT_STATES,paper,0.2,300,0.5736137667304015,169,131,0.2605162523900574,0.20889101338432126,0.0,False
10,CV17_THY_CONT_STATES,paper,0.3,264,0.5047801147227533,162,102,0.22616771373941547,0.09587544386779573,0.0,False
10,CV17_THY_CONT_STATES,paper,0.4,225,0.43021032504780116,148,77,0.18483110261312935,-0.05481198215423838,0.0,False
10,CV17_THY_CONT_STATES,paper,0.5,179,0.3422562141491396,128,51,0.14722753346080306,-0.26577437858508596,0.0,False
10,CV17_THY_CONT_STATES,diverse,0.1,393,0.751434034416826,184,209,0.3074144890588485,0.2967920118971744,0.0,False
10,CV17_THY_CONT_STATES,diverse,0.2,308,0.5889101338432122,173,135,0.2662523900573614,0.20889101338432126,0.0,False
10,CV17_THY_CONT_STATES,diverse,0.3,257,0.491395793499044,155,102,0.21278339251570605,0.09587544386779573,0.0,False
10,CV17_THY_CONT_STATES,diverse,0.4,217,0.4149139579349904,141,76,0.17272147864882087,-0.05481198215423838,0.0,False
10,CV17_THY_CONT_STATES,diverse,0.5,182,0.3479923518164436,128,54,0.14149139579349904,-0.26577437858508596,0.0,False
10,CV17_THY_CONT_RATIO,paper,0.1,376,0.7189292543021033,186,190,0.31527512215848735,0.2967920118971744,0.0,False
10,CV17_THY_CONT_RATIO,paper,0.2,307,0.5869980879541109,174,133,0.2691204588910134,0.20889101338432126,0.0,False
10,CV17_THY_CONT_RATIO,paper,0.3,268,0.5124282982791587,163,105,0.22562141491395793,0.09587544386779573,0.0,False
10,CV17_THY_CONT_RATIO,paper,0.4,232,0.4435946462715105,152,80,0.18865519439133208,-0.05481198215423838,0.0,False
10,CV17_THY_CONT_RATIO,paper,0.5,189,0.361376673040153,132,57,0.14340344168260036,-0.26577437858508596,0.0,False
10,CV17_THY_CONT_RATIO,diverse,0.1,392,0.7495219885277247,185,207,0.30975143403441685,0.2967920118971744,0.0,False
10,CV17_THY_CONT_RATIO,diverse,0.2,310,0.5927342256214149,171,139,0.2605162523900573,0.20889101338432126,0.0,False
10,CV17_THY_CONT_RATIO,diverse,0.3,259,0.49521988527724664,161,98,0.22753346080305925,0.09587544386779573,0.0,False
10,CV17_THY_CONT_RATIO,diverse,0.4,231,0.4416826003824092,149,82,0.18036966220522627,-0.05481198215423838,0.0,False
10,CV17_THY_CONT_RATIO,diverse,0.5,191,0.3652007648183556,134,57,0.14722753346080306,-0.26577437858508596,0.0,False
