horizon,feature_set,ensemble,threshold,high_risk_per_1000,true_positives,false_positives,false_negatives,true_negatives,sensitivity,specificity,ppv,npv,degenerate
10,CV17_THY_STATES,diverse,0.1,751.434034416826,185,208,7,123,0.9635416666666666,0.3716012084592145,0.4707379134860051,0.9461538461538461,False
10,CV17_THY_STATES,diverse,0.2,596.5583173996176,172,140,20,191,0.8958333333333334,0.5770392749244713,0.5512820512820513,0.9052132701421801,False
10,CV17_THY_STATES,diverse,0.3,504.7801147227533,156,108,36,223,0.8125,0.6737160120845922,0.5909090909090909,0.861003861003861,False
10,CV17_THY_STATES,diverse,0.4,447.4187380497132,151,83,41,248,0.7864583333333334,0.7492447129909365,0.6452991452991453,0.8581314878892734,False
10,CV17_THY_STATES,diverse,0.5,386.2332695984704,144,58,48,273,0.75,0.824773413897281,0.7128712871287128,0.8504672897196262,False
10,CV17_THY_CONT_STATES,paper,0.1,722.753346080306,185,193,7,138,0.9635416666666666,0.4169184290030212,0.4894179894179894,0.9517241379310345,False
10,CV17_THY_CONT_STATES,paper,0.2,573.6137667304015,169,131,23,200,0.8802083333333334,0.6042296072507553,0.5633333333333334,0.8968609865470852,False
10,CV17_THY_CONT_STATES,paper,0.3,504.7801147227533,162,102,30,229,0.84375,0.6918429003021148,0.6136363636363636,0.8841698841698842,False
10,CV17_THY_CONT_STATES,paper,0.4,430.2103250478012,148,77,44,254,0.7708333333333334,0.7673716012084593,0.6577777777777778,0.8523489932885906,False
10,CV17_THY_CONT_STATES,paper,0.5,342.25621414913957,128,51,64,280,0.6666666666666666,0.8459214501510574,0.7150837988826816,0.813953488372093,False
10,CV17_THY_CONT_STATES,diverse,0.1,751.434034416826,184,209,8,122,0.9583333333333334,0.3685800604229607,0.4681933842239186,0.9384615384615385,False
10,CV17_THY_CONT_STATES,diverse,0.2,588.9101338432122,173,135,19,196,0.9010416666666666,0.5921450151057401,0.5616883116883117,0.9116279069767442,False
