feature_set,fold,model,n_train,n_test,events_test,eval_times,brier_grid,inner_best_c,c_harrell,metric_failures,c_uno,auc_time_dependent,auc_at_last_time,integrated_brier
CV17_THY_CONT_STATES,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.81301066261434,,0.7998147134341405,0.8481557995181204,0.8468413241472071,0.08455842844995197
CV17_THY_CONT_STATES,3,Cox,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7934021386529692,,0.7802294472898413,0.8257280413791157,0.8211518401163826,0.08321796917201889
CV17_THY_CONT_STATES,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7900280809105203,,0.7903083649618985,0.8301503018791664,0.8410089235633632,0.08908445528411277
CV17_THY_CONT_STATES,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7954747282588646,0.7889006457897698,,0.7781445265642974,0.8170625401583745,0.8017690946852164,0.08896726058870238
CV17_THY_CONT_STATES,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7946523768654873,0.7893093633213003,,0.7718604178977948,0.8336551209573252,0.8288378993536268,0.08550723191030891
CV17_THY_CONT_STATES,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7883903108006755,0.8086075459149096,,0.7902177188008734,0.8391060717009252,0.8329233064620103,0.08997240859239
CV17_THY_CONT_STATES,3,RSF,6451,1612,201,"7.000,10.000",0.147-14.306,0.789863070680383,0.7877285149398207,,0.7802419919735637,0.8206546048777852,0.8158887791567759,0.0862553916696513
CV17_THY_CONT_STATES,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,0.7945147445057448,0.7857285909689405,,0.7782849362964466,0.8154075237564072,0.8211871553955636,0.08984509764855941
CV17_THY_CONT_RATIO,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7851132441488423,,0.7852013383071828,0.8230824915562276,0.8190365327349758,0.0894688778435175
CV17_THY_CONT_RATIO,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7750987320723343,,0.7582560786576313,0.8168629195775844,0.817842134204616,0.08425341705919481
CV17_THY_CONT_RATIO,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8098282952866446,,0.7962657351855036,0.8446590242806511,0.843156070172032,0.08446415738532374
CV17_THY_CONT_RATIO,3,Cox,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7907992013616697,,0.7805152324918577,0.8281818350217932,0.82638701124527,0.08355388211906215
CV17_THY_CONT_RATIO,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7866149080232999,,0.7866919210998773,0.832309983077775,0.8428358636931634,0.09012880444229886
CV17_THY_CONT_RATIO,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7932874599603352,0.7889636291873462,,0.7783756966966079,0.8150436969954904,0.8000414350795567,0.08865199874449937
CV17_THY_CONT_RATIO,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7953457060406548,0.7909213155226755,,0.7771445627949862,0.8311129794764289,0.8284645427950599,0.08700652215113122
CV17_THY_CONT_RATIO,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,0.7867734592643594,0.8009462912371242,,0.7825197870562198,0.8277704223390189,0.8236633247336823,0.08871015939578669
CV17_THY_CONT_RATIO,3,RSF,6451,1612,201,"7.000,10.000",0.147-14.306,0.7900348305871879,0.7880186926411801,,0.7817643880550503,0.8199962622204784,0.8153444612939192,0.08661674259022788
CV17_THY_CONT_RATIO,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,0.7922358727014972,0.7838494283681113,,0.7755882265156282,0.8116340572824993,0.816594277360095,0.09021764550195809
