horizon,feature_set,model,sampler,status,replication_only,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17_THY_CONT_STATES,AdaBoost,none,ok,False,878,169,0.19248291571753987,0.5,0.6801720006025499,0.8478897689052838,0.6326840420879618,0.1429391567901151,0.75,0.31952662721893493,0.8573200992555832,0.9746121297602257
7,CV17_THY_CONT_STATES,AdaBoost,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.7133919515971644,0.8423898982649118,0.630400160354515,0.18304336641922006,0.4659090909090909,0.727810650887574,0.9250814332247557,0.8011283497884344
7,CV17_THY_CONT_STATES,AdaBoost,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.7119315289815362,0.8275803072917103,0.5854116448591848,0.18414621996503563,0.468503937007874,0.7041420118343196,0.9198717948717948,0.8095909732016925
7,CV17_THY_CONT_STATES,AdaBoost,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7095557931481938,0.8351123759608082,0.5933547525934255,0.18106386067668775,0.4745762711864407,0.6627218934911243,0.9112149532710281,0.8251057827926658
7,CV17_THY_CONT_STATES,AdaBoost,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7166511315961699,0.8371028450772403,0.5870610528271815,0.1786506129259279,0.47950819672131145,0.6923076923076923,0.917981072555205,0.8208744710860366
7,CV17_THY_CONT_STATES,AdaBoost,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7243901516584093,0.8419976464893466,0.6128828481597097,0.17992689296387399,0.5069124423963134,0.650887573964497,0.9107413010590015,0.849083215796897
7,CV17_THY_CONT_STATES,GradientBoosting,none,ok,False,878,169,0.19248291571753987,0.5,0.7137578787220169,0.8390766226287546,0.6464308340011584,0.10725348866989343,0.7415730337078652,0.3905325443786982,0.8694550063371356,0.9675599435825106
7,CV17_THY_CONT_STATES,GradientBoosting,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.7180660463419084,0.8275928259653983,0.6258950638043945,0.1420645088656809,0.48523206751054854,0.6804733727810651,0.9157566302652106,0.8279266572637518
7,CV17_THY_CONT_STATES,GradientBoosting,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.6922045161831165,0.8112935128232948,0.5972316630246408,0.13771364841625036,0.4647887323943662,0.5857988165680473,0.8947368421052632,0.8392101551480959
7,CV17_THY_CONT_STATES,GradientBoosting,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7252454048356282,0.8269585464985271,0.6111335706355817,0.1258057902870802,0.5485714285714286,0.5680473372781065,0.8961593172119487,0.8885754583921015
7,CV17_THY_CONT_STATES,GradientBoosting,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7145776250406353,0.8246718021048064,0.598129358065121,0.12688032702895277,0.5217391304347826,0.5680473372781065,0.8948126801152738,0.8758815232722144
7,CV17_THY_CONT_STATES,GradientBoosting,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7298375172832698,0.8379165588669766,0.6266269803683564,0.12283310635217784,0.5396825396825397,0.6035502958579881,0.9027576197387518,0.8772919605077574
7,CV17_THY_CONT_STATES,LogisticRegression,none,ok,False,878,169,0.19248291571753987,0.5,0.5218732982392449,0.8327254821775816,0.5907184170584902,0.1244225406495104,1.0,0.07692307692307693,0.8196531791907514,1.0
7,CV17_THY_CONT_STATES,LogisticRegression,class_weight,ok,False,878,169,0.19248291571753987,0.5,0.6980653179927347,0.8385258009864716,0.6047932743553949,0.17148312729795503,0.44696969696969696,0.6982248520710059,0.9169381107491856,0.7940761636107193
7,CV17_THY_CONT_STATES,LogisticRegression,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.6913431083442552,0.8371904757930578,0.6110389239822627,0.16446869831557417,0.4336917562724014,0.7159763313609467,0.9198664440734557,0.7771509167842031
7,CV17_THY_CONT_STATES,LogisticRegression,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.7001503682748427,0.8307809148646732,0.5788830105591134,0.1671222329977793,0.4432624113475177,0.7396449704142012,0.9261744966442953,0.7785613540197461
7,CV17_THY_CONT_STATES,LogisticRegression,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.6987110179940164,0.8403618731274152,0.6081473876540555,0.16296751400489454,0.44485294117647056,0.7159763313609467,0.9207920792079208,0.7870239774330042
7,CV17_THY_CONT_STATES,LogisticRegression,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.6959397251480265,0.8408793116398627,0.6105404941207525,0.16305501127424069,0.4370629370629371,0.7396449704142012,0.9256756756756757,0.7729196050775741
7,CV17_THY_CONT_STATES,LogisticRegression,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7022220234501367,0.8314819605912152,0.5893926604949393,0.14975189172819975,0.4711111111111111,0.6272189349112426,0.9035222052067381,0.8321579689703809
7,CV17_THY_CONT_STATES,MLP,none,ok,False,878,169,0.19248291571753987,0.5,0.6292787321418243,0.8136887523889803,0.5515118649250847,0.11969172217855369,0.7017543859649122,0.23668639053254437,0.8428745432399513,0.9760225669957687
7,CV17_THY_CONT_STATES,MLP,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.7101894374282434,0.8319159412790746,0.5932864390802018,0.1452747429299015,0.46963562753036436,0.6863905325443787,0.9160063391442155,0.8152327221438646
7,CV17_THY_CONT_STATES,MLP,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.6978580529952845,0.7915473915256924,0.5468283527723709,0.1526748611551965,0.4646017699115044,0.621301775147929,0.901840490797546,0.8293370944992948
7,CV17_THY_CONT_STATES,MLP,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7011488200570555,0.8043331302526269,0.5545050375756103,0.14918866456901286,0.4727272727272727,0.6153846153846154,0.9012158054711246,0.8363892806770099
7,CV17_THY_CONT_STATES,MLP,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7146195933971536,0.8122449320236019,0.546488884192744,0.1446293343594456,0.5024390243902439,0.6094674556213018,0.9019316493313522,0.8561354019746121
7,CV17_THY_CONT_STATES,MLP,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7211686022298753,0.8276679380075278,0.5810906605163336,0.135920639998761,0.5046728971962616,0.6390532544378699,0.9081325301204819,0.8504936530324401
7,CV17_THY_CONT_STATES,RandomForest,none,ok,False,878,169,0.19248291571753987,0.5,0.6769179304192685,0.8322080436651338,0.6256827994208878,0.11258094725178865,0.7761194029850746,0.3076923076923077,0.8557336621454994,0.9788434414668548
7,CV17_THY_CONT_STATES,RandomForest,class_weight,ok,False,878,169,0.19248291571753987,0.5,0.719009238906154,0.8280434982181755,0.617330705181361,0.12730190953799445,0.5515151515151515,0.5384615384615384,0.8906030855539971,0.8956276445698167
7,CV17_THY_CONT_STATES,RandomForest,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.72046434169279,0.8247302225820181,0.6152947191468643,0.1293480010094194,0.5363128491620112,0.5680473372781065,0.8955650929899857,0.8829337094499294
7,CV17_THY_CONT_STATES,RandomForest,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.7064209529415769,0.8143230318558518,0.5759922241279459,0.13841298789891177,0.5053191489361702,0.5621301775147929,0.8927536231884058,0.8688293370944993
