seed,feature_set,fold,model,n_train,n_test,events_test,eval_times,brier_grid,inner_best_c,c_harrell,metric_failures,c_uno,auc_time_dependent,auc_at_last_time,integrated_brier
7,CV17,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7799423414817216,,0.7851167684376084,0.8378694564775003,0.8518452958541695,0.08923754194944229
7,CV17_THY_CONT,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7893999043070233,,0.7655261378661681,0.8227247229222768,0.7970386322953478,0.08879691904599643
7,CV17_THY_CONT,1,RSF,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7972088095320804,,0.7784328785909919,0.8324975650636167,0.8169939029503535,0.08663990254138759
7,CV17_THY_CONT,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7891838848607098,,0.7831937950071779,0.824546382963991,0.8293375923530532,0.08742885873335217
7,CV17_THY_CONT,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8075976648678003,,0.8020693758149807,0.8268902199646702,0.8346712109527479,0.0856820996183833
7,CV17_THY_CONT,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.791341839954965,,0.7881768895549033,0.833512820310827,0.8454599108461112,0.08999154482148405
8,CV17,0,RSF,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7848805958688474,,0.7799037553747996,0.8281586657095056,0.8270629210844475,0.08551301190921312
8,CV17,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7860045118848646,,0.7763042089212552,0.8398331846648643,0.8245852284127018,0.088056525867199
8,CV17,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7857286099170816,,0.770121577759809,0.8269397617838204,0.8209548602775603,0.0881297454257087
8,CV17,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.77401852630856,,0.7654466673955137,0.8106485577361621,0.809154317732749,0.08954668206609706
8,CV17,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7884803570072801,,0.7889016182417734,0.8259414061844219,0.8455020462526731,0.08857651297774112
8,CV17_THY_CONT,0,RSF,6450,1613,202,"7.000,10.000",0.147-14.306,,0.8034289760850462,,0.795189982270397,0.836238548034324,0.8312310252450856,0.08459257984728213
8,CV17_THY_CONT,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8007813464847642,,0.7858504949283119,0.8450754171653512,0.825392134671978,0.0887238563663068
8,CV17_THY_CONT,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7924248633284215,,0.7706558260406937,0.8197214172222187,0.8088351130701796,0.08907643605516323
8,CV17_THY_CONT,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7796888816393809,,0.7624992460231534,0.8051728650931717,0.7963572091675207,0.09004944987778073
8,CV17_THY_CONT,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.793151736529977,,0.7885183950395505,0.8180153213610909,0.8352433652899759,0.08945436923959543
9,CV17,0,RSF,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7822642959384883,,0.7810664798410835,0.822956564252137,0.8419057777783214,0.08356543234680913
9,CV17,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.768116958388852,,0.7604935253032508,0.8116050335896948,0.817872963891666,0.08844547970471818
9,CV17,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7985894146832957,,0.7856287936384934,0.8377483936430884,0.8305235763676414,0.09017060651858015
9,CV17,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7651894702408623,,0.7511564104328499,0.8084287872178966,0.7962127408498523,0.08950244450908502
9,CV17,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7994491006480913,,0.8054866682658751,0.856434653409079,0.8557397483808477,0.08862422352553445
9,CV17_THY_CONT,0,RSF,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7899954820485321,,0.7836566495480168,0.8230544722511388,0.8338987568878544,0.08252009301326937
9,CV17_THY_CONT,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7763467829430183,,0.76312296415979,0.809254469480456,0.8107273594478801,0.0884177776477552
9,CV17_THY_CONT,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8083940833312167,,0.7928354477842925,0.8384996531968175,0.8274993906739734,0.0911801395363666
9,CV17_THY_CONT,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7778222543601399,,0.7584507313838551,0.8094301786503248,0.7957339483765691,0.08949610944791457
9,CV17_THY_CONT,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8167082892047263,,0.8165789910717932,0.8592178144995798,0.8530217498281879,0.08869948632325816
