horizon,feature_set,k,rep_fold,model,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17,2,14,paper_ensemble,878,169,0.19248291571753987,0.5,0.7128563220930746,0.8440423631917611,0.5990051664575728,0.1634793784584037,0.46875,0.7100591715976331,0.9212218649517685,0.8081805359661495
7,CV17,3,14,LogisticRegression,878,169,0.19248291571753987,0.5,0.7106130520764666,0.8544578997003864,0.5900482822580273,0.17873340090681575,0.4581818181818182,0.7455621301775148,0.9286898839137645,0.7898448519040903
7,CV17,3,14,RandomForest,878,169,0.19248291571753987,0.5,0.7019041840036986,0.8259653983859256,0.5671353639049046,0.14593066019084794,0.4609053497942387,0.6627218934911243,0.9102362204724409,0.8152327221438646
7,CV17,3,14,AdaBoost,878,169,0.19248291571753987,0.5,0.6917236142748671,0.8258735947788785,0.5811538023525679,0.2138095135238412,0.43703703703703706,0.6982248520710059,0.9161184210526315,0.7856135401974612
7,CV17,3,14,paper_ensemble,878,169,0.19248291571753987,0.5,0.7131861128912198,0.8424399729596649,0.5892391632351986,0.17072392157703614,0.472,0.6982248520710059,0.9187898089171974,0.8138222849083215
7,CV17,5,14,LogisticRegression,878,169,0.19248291571753987,0.5,0.7033327311534421,0.8536650503667971,0.5961993317967548,0.16620003789338778,0.44368600682593856,0.7692307692307693,0.9333333333333333,0.770098730606488
7,CV17,5,14,RandomForest,878,169,0.19248291571753987,0.5,0.6942352786398074,0.82478864305923,0.5694476662472108,0.13590083073699127,0.47317073170731705,0.5739644970414202,0.8930163447251115,0.847672778561354
7,CV17,5,14,AdaBoost,878,169,0.19248291571753987,0.5,0.6996143788714694,0.8364017993506982,0.595607200404882,0.19865337283097842,0.44525547445255476,0.7218934911242604,0.9221854304635762,0.7856135401974612
7,CV17,5,14,paper_ensemble,878,169,0.19248291571753987,0.5,0.7269151843638137,0.8444596523147027,0.5989673502477738,0.15666681850996841,0.5,0.6863905325443787,0.9179566563467493,0.8363892806770099
7,CV17_THY_CONT,2,0,LogisticRegression,878,168,0.19134396355353075,0.5,0.7127695475801841,0.8349513749161637,0.5962327286860362,0.16872806720365216,0.45985401459854014,0.75,0.9304635761589404,0.7915492957746478
7,CV17_THY_CONT,2,0,RandomForest,878,168,0.19134396355353075,0.5,0.7227982718511133,0.8344902749832327,0.5795736846568178,0.1273189915182201,0.5465116279069767,0.5595238095238095,0.8951841359773371,0.8901408450704226
7,CV17_THY_CONT,2,0,AdaBoost,878,168,0.19134396355353075,0.5,0.7001969968918269,0.8340585177733065,0.6068172216768967,0.18580126360934093,0.44866920152091255,0.7023809523809523,0.9186991869918699,0.795774647887324
7,CV17_THY_CONT,2,0,paper_ensemble,878,168,0.19134396355353075,0.5,0.7261140819964349,0.8409121395036887,0.6080928412192704,0.1532701681368604,0.5,0.6785714285714286,0.916923076923077,0.8394366197183099
7,CV17_THY_CONT,3,0,LogisticRegression,878,168,0.19134396355353075,0.5,0.707394855440651,0.8362592219986585,0.5978133080064564,0.1628503765371896,0.45161290322580644,0.75,0.9298831385642737,0.7845070422535211
7,CV17_THY_CONT,3,0,RandomForest,878,168,0.19134396355353075,0.5,0.7191508806912597,0.8336435278336688,0.5897186079892666,0.12476323941253512,0.5406976744186046,0.5535714285714286,0.8937677053824362,0.8887323943661972
7,CV17_THY_CONT,3,0,AdaBoost,878,168,0.19134396355353075,0.5,0.703872437357631,0.8253521126760562,0.604350650332818,0.2199223858002307,0.45018450184501846,0.7261904761904762,0.9242174629324547,0.7901408450704225
7,CV17_THY_CONT,3,0,paper_ensemble,878,168,0.19134396355353075,0.5,0.737267340953977,0.8408786049631121,0.609008938674408,0.15415945371180192,0.5178571428571429,0.6904761904761905,0.9204892966360856,0.847887323943662
7,CV17_THY_CONT,5,0,LogisticRegression,878,168,0.19134396355353075,0.5,0.6983916202234401,0.8343812877263582,0.5972996442141957,0.16810637759830419,0.44086021505376344,0.7321428571428571,0.9248747913188647,0.780281690140845
7,CV17_THY_CONT,5,0,RandomForest,878,168,0.19134396355353075,0.5,0.7227982718511133,0.8308182427900737,0.5842578576508362,0.1255467217349596,0.5465116279069767,0.5595238095238095,0.8951841359773371,0.8901408450704226
7,CV17_THY_CONT,5,0,AdaBoost,878,168,0.19134396355353075,0.5,0.7028046421663443,0.835140006706908,0.6125228936162735,0.1917646016691856,0.4485294117647059,0.7261904761904762,0.9240924092409241,0.7887323943661971
7,CV17_THY_CONT,5,0,paper_ensemble,878,168,0.19134396355353075,0.5,0.7221016458672453,0.8398054996646546,0.6090942927512577,0.15251764702327175,0.5,0.6547619047619048,0.9118541033434651,0.8450704225352113
7,CV17_THY_CONT,2,1,LogisticRegression,878,169,0.19248291571753987,0.5,0.7078054919715181,0.8465377521469525,0.5905455217663556,0.16615152338388184,0.45104895104895104,0.7633136094674556,0.9324324324324325,0.7785613540197461
7,CV17_THY_CONT,2,1,RandomForest,878,169,0.19248291571753987,0.5,0.7312585379882702,0.8406289381660978,0.5918754355975085,0.12644309030423576,0.5568181818181818,0.5798816568047337,0.8988603988603988,0.8899858956276445
7,CV17_THY_CONT,2,1,AdaBoost,878,169,0.19248291571753987,0.5,0.6969893826508862,0.8360971782909506,0.5818193523106867,0.18995382979858694,0.43859649122807015,0.7396449704142012,0.9258010118043845,0.7743300423131171
7,CV17_THY_CONT,2,1,paper_ensemble,878,169,0.19248291571753987,0.5,0.7159744496532061,0.850652222899158,0.6101030115704864,0.1527338653845707,0.4830508474576271,0.6745562130177515,0.9143302180685359,0.8279266572637518
7,CV17_THY_CONT,3,1,LogisticRegression,878,169,0.19248291571753987,0.5,0.7229352577532915,0.8444513065322438,0.5778443540075582,0.16072761310581543,0.4742647058823529,0.7633136094674556,0.933993399339934,0.7983074753173484
7,CV17_THY_CONT,3,1,RandomForest,878,169,0.19248291571753987,0.5,0.7374462309939502,0.8435833451565252,0.6064965274840561,0.12221755514995065,0.5773809523809523,0.5739644970414202,0.8985915492957747,0.8998589562764457
7,CV17_THY_CONT,3,1,AdaBoost,878,169,0.19248291571753987,0.5,0.7177607622219528,0.8343946386693484,0.5598599944649704,0.22336774902234896,0.47307692307692306,0.727810650887574,0.9255663430420712,0.8067700987306065
7,CV17_THY_CONT,3,1,paper_ensemble,878,169,0.19248291571753987,0.5,0.7215781710914454,0.8522045384365011,0.6130909402458864,0.15291140416486843,0.4935064935064935,0.6745562130177515,0.9149922720247295,0.8349788434414669
7,CV17_THY_CONT,5,1,LogisticRegression,878,169,0.19248291571753987,0.5,0.7086363353058993,0.845352651037798,0.593883066328964,0.16562456668407552,0.4513888888888889,0.7692307692307693,0.9338983050847458,0.7771509167842031
7,CV17_THY_CONT,5,1,RandomForest,878,169,0.19248291571753987,0.5,0.7227982718511133,0.8424650103070415,0.5851987750526026,0.12337180085169687,0.5497076023391813,0.5562130177514792,0.8939179632248939,0.8913963328631875
7,CV17_THY_CONT,5,1,AdaBoost,878,169,0.19248291571753987,0.5,0.7029307673047903,0.8416220862786992,0.593769172519488,0.19545229435396308,0.4456140350877193,0.7514792899408284,0.9291736930860034,0.7771509167842031
7,CV17_THY_CONT,5,1,paper_ensemble,878,169,0.19248291571753987,0.5,0.724815634218289,0.8523380709558425,0.6095158406059059,0.15132679667721136,0.49783549783549785,0.6804733727810651,0.9165378670788253,0.8363892806770099
7,CV17_THY_CONT,2,2,LogisticRegression,878,169,0.19248291571753987,0.5,0.6820142745724282,0.8254813430033133,0.5881128356346964,0.16924123272740518,0.4201388888888889,0.7159763313609467,0.9186440677966101,0.764456981664316
7,CV17_THY_CONT,2,2,RandomForest,878,169,0.19248291571753987,0.5,0.7155034895314057,0.8237370744694168,0.5868892628147482,0.12890973630955424,0.5380116959064327,0.5443786982248521,0.8910891089108911,0.8885754583921015
7,CV17_THY_CONT,2,2,AdaBoost,878,169,0.19248291571753987,0.5,0.6867750833137557,0.829608332429207,0.57057262318666,0.19081465680233742,0.4323308270676692,0.6804733727810651,0.9117647058823529,0.7870239774330042
7,CV17_THY_CONT,2,2,paper_ensemble,878,169,0.19248291571753987,0.5,0.7163324420677362,0.8326169870056167,0.5997894833416476,0.15474535042684542,0.4889867841409692,0.6568047337278107,0.9109062980030722,0.8363892806770099
7,CV17_THY_CONT,3,2,LogisticRegression,878,169,0.19248291571753987,0.5,0.6789385399892647,0.8296458884502718,0.596898822108123,0.16302855965240134,0.41580756013745707,0.7159763313609467,0.9182282793867121,0.7602256699576869
7,CV17_THY_CONT,3,2,RandomForest,878,169,0.19248291571753987,0.5,0.7191508806912597,0.8268083224142679,0.6028764758829573,0.12526802122865463,0.543859649122807,0.5502958579881657,0.8925035360678925,0.8899858956276445
7,CV17_THY_CONT,3,2,AdaBoost,878,169,0.19248291571753987,0.5,0.7071534041636393,0.8229275335709101,0.576411557231278,0.22183713927586296,0.4672131147540984,0.6745562130177515,0.9132492113564669,0.8166431593794076
7,CV17_THY_CONT,3,2,paper_ensemble,878,169,0.19248291571753987,0.5,0.7164352694531408,0.8348286193572078,0.6123116960134947,0.15415951145740112,0.49107142857142855,0.650887573964497,0.9097859327217125,0.8392101551480959
7,CV17_THY_CONT,5,2,LogisticRegression,878,169,0.19248291571753987,0.5,0.6829116294851703,0.8251057827926657,0.584350905504103,0.16892317162281162,0.4206896551724138,0.7218934911242604,0.9200680272108843,0.763046544428773
7,CV17_THY_CONT,5,2,RandomForest,878,169,0.19248291571753987,0.5,0.7131359752516605,0.8211916108194723,0.582399722451177,0.1278914820732123,0.5317919075144508,0.5443786982248521,0.8907801418439716,0.8857545839210155
7,CV17_THY_CONT,5,2,AdaBoost,878,169,0.19248291571753987,0.5,0.6899197157882959,0.8326879261565169,0.5792829505651299,0.19587216987689327,0.4372623574144487,0.6804733727810651,0.9121951219512195,0.7912552891396333
7,CV17_THY_CONT,5,2,paper_ensemble,878,169,0.19248291571753987,0.5,0.7153111652765044,0.8312566244648267,0.5973171746549539,0.15422395649108775,0.4888888888888889,0.650887573964497,0.9096477794793262,0.8377997179125529
7,CV17_THY_CONT,2,3,LogisticRegression,878,168,0.19134396355353075,0.5,0.6923894634119663,0.8304996646545943,0.5943598788933399,0.17116184323682324,0.4336917562724014,0.7202380952380952,0.9215358931552587,0.7774647887323943
7,CV17_THY_CONT,2,3,RandomForest,878,168,0.19134396355353075,0.5,0.7157031054306853,0.8389587525150904,0.6176674290666229,0.12668732515632397,0.5248618784530387,0.5654761904761905,0.8952654232424677,0.8788732394366198
7,CV17_THY_CONT,2,3,AdaBoost,878,168,0.19134396355353075,0.5,0.6979357798165138,0.8258509389671362,0.5866382001662901,0.1902205378879558,0.44402985074626866,0.7083333333333334,0.919672131147541,0.7901408450704225
7,CV17_THY_CONT,2,3,paper_ensemble,878,168,0.19134396355353075,0.5,0.728400307102872,0.838724010731053,0.6167639021876121,0.15509552424421189,0.504424778761062,0.6785714285714286,0.9171779141104295,0.8422535211267606
7,CV17_THY_CONT,3,3,LogisticRegression,878,168,0.19134396355353075,0.5,0.6973364460463085,0.8347501676727028,0.5956795400813095,0.16452712047083456,0.4392857142857143,0.7321428571428571,0.9247491638795987,0.7788732394366197
7,CV17_THY_CONT,3,3,RandomForest,878,168,0.19134396355353075,0.5,0.72048139023228,0.8378688799463447,0.6169944337958095,0.12410572862870164,0.5300546448087432,0.5773809523809523,0.897841726618705,0.8788732394366198
7,CV17_THY_CONT,3,3,AdaBoost,878,168,0.19134396355353075,0.5,0.6937068250898037,0.826693494299128,0.5804603939442685,0.22423005501761623,0.4375,0.7083333333333334,0.9191419141914191,0.7845070422535211
7,CV17_THY_CONT,3,3,paper_ensemble,878,168,0.19134396355353075,0.5,0.728866028209573,0.8412894030851777,0.6195483465852252,0.1550843141382088,0.511520737327189,0.6607142857142857,0.913767019667171,0.8507042253521127
7,CV17_THY_CONT,5,3,LogisticRegression,878,168,0.19134396355353075,0.5,0.6833862281947556,0.8281773977196514,0.5961958013645839,0.17108686437619908,0.4229390681003584,0.7023809523809523,0.9165275459098498,0.7732394366197183
7,CV17_THY_CONT,5,3,RandomForest,878,168,0.19134396355353075,0.5,0.7300741345977275,0.8336854460093898,0.6131623577613743,0.12503502330338553,0.5542857142857143,0.5773809523809523,0.89900426742532,0.8901408450704226
7,CV17_THY_CONT,5,3,AdaBoost,878,168,0.19134396355353075,0.5,0.7072612981553925,0.8321721998658619,0.5985854718568014,0.19503027424464817,0.45660377358490567,0.7202380952380952,0.9233278955954323,0.7971830985915493
7,CV17_THY_CONT,5,3,paper_ensemble,878,168,0.19134396355353075,0.5,0.7262698843854019,0.8370556673373576,0.6175410816855819,0.15409132588794458,0.5022222222222222,0.6726190476190477,0.9157733537519143,0.8422535211267606
7,CV17_THY_CONT,2,4,LogisticRegression,878,169,0.19248291571753987,0.5,0.7010496264429908,0.8470301533120237,0.6158869116181542,0.17433295728519044,0.4368932038834951,0.7988165680473372,0.9402460456942003,0.7545839210155149
7,CV17_THY_CONT,2,4,RandomForest,878,169,0.19248291571753987,0.5,0.7264312901314142,0.8453025763430451,0.5859949882245041,0.12514794490018366,0.5444444444444444,0.5798816568047337,0.8982808022922636,0.8843441466854725
7,CV17_THY_CONT,2,4,AdaBoost,878,169,0.19248291571753987,0.5,0.7033327311534421,0.8356840620592384,0.5865241544982602,0.19332773449559595,0.44368600682593856,0.7692307692307693,0.9333333333333333,0.770098730606488
7,CV17_THY_CONT,2,4,paper_ensemble,878,169,0.19248291571753987,0.5,0.7318031069994764,0.8510277831098054,0.6129574164677035,0.1560789861910156,0.502092050209205,0.7100591715976331,0.9233176838810642,0.8321579689703809
7,CV17_THY_CONT,3,4,LogisticRegression,878,169,0.19248291571753987,0.5,0.696094566353187,0.8489413374950968,0.6202590129994546,0.16889443631553533,0.43086816720257237,0.7928994082840237,0.9382716049382716,0.7503526093088858
7,CV17_THY_CONT,3,4,RandomForest,878,169,0.19248291571753987,0.5,0.7276607359984119,0.8472638352208712,0.6014681403752085,0.12169747003901323,0.5549132947976878,0.5680473372781065,0.8964539007092198,0.8913963328631875
7,CV17_THY_CONT,3,4,AdaBoost,878,169,0.19248291571753987,0.5,0.6849722813205916,0.8259487068210082,0.6016276816735195,0.22392212236792916,0.4236111111111111,0.7218934911242604,0.9203389830508475,0.765867418899859
7,CV17_THY_CONT,3,4,paper_ensemble,878,169,0.19248291571753987,0.5,0.7246482864106782,0.8538903864931857,0.6290681020863497,0.15602629463227513,0.49572649572649574,0.6863905325443787,0.9177018633540373,0.8335684062059239
7,CV17_THY_CONT,5,4,LogisticRegression,878,169,0.19248291571753987,0.5,0.7002312286509935,0.8453443052553392,0.6098409453347134,0.1745391009601859,0.4339622641509434,0.8165680473372781,0.9446428571428571,0.7461212976022567
7,CV17_THY_CONT,5,4,RandomForest,878,169,0.19248291571753987,0.5,0.7240481321839081,0.839660827400873,0.5859788956865041,0.12375416567841502,0.5418994413407822,0.5739644970414202,0.8969957081545065,0.8843441466854725
7,CV17_THY_CONT,5,4,AdaBoost,878,169,0.19248291571753987,0.5,0.7043894839990285,0.8369734854491282,0.5945559082046672,0.19760001286878318,0.4452054794520548,0.7692307692307693,0.9334470989761092,0.771509167842031
7,CV17_THY_CONT,5,4,paper_ensemble,878,169,0.19248291571753987,0.5,0.7363788153963325,0.8488829170178851,0.6108895947454505,0.15512032417528443,0.5106382978723404,0.7100591715976331,0.9237947122861586,0.8377997179125529
7,CV17_THY_CONT,2,5,LogisticRegression,878,169,0.19248291571753987,0.5,0.6962688411168767,0.8276262090952337,0.5642892929600062,0.16061961779013464,0.4474708171206226,0.6804733727810651,0.9130434782608695,0.7997179125528914
7,CV17_THY_CONT,2,5,RandomForest,878,169,0.19248291571753987,0.5,0.6873568149641769,0.8158085811335242,0.5422893534912553,0.12941540525578704,0.5095541401273885,0.47337278106508873,0.8765603328710125,0.8913963328631875
