horizon,rep,fold,n_train,n_valid,n_test,comparison,metric,delta,ci_lo,ci_hi,p_bootstrap,n_boot_used,excludes_zero,threshold_base,threshold_other
7,2,4,2634,878,878,independently optimized,f1_macro,0.008341166781680842,-0.014710324100974717,0.030124777421207637,0.472,500,False,0.42999999999999994,0.4599999999999999
7,2,4,2634,878,878,independently optimized,roc_auc,0.0014688577127548452,-0.006662695471072078,0.008953695014633375,0.768,500,False,0.42999999999999994,0.4599999999999999
7,2,4,2634,878,878,independently optimized,auprc,0.014286782418503896,-0.004491305207977858,0.03552239714719977,0.16,500,False,0.42999999999999994,0.4599999999999999
7,2,4,2634,878,878,independently optimized,brier,-0.002236925530172615,-0.00474142868776016,0.0002372700902122542,0.08,500,False,0.42999999999999994,0.4599999999999999
7,3,0,2634,878,878,locked pipeline,f1_macro,0.004356227842720162,-0.01584976427611956,0.024048147862851144,0.672,500,False,0.41999999999999993,0.41999999999999993
7,3,0,2634,878,878,locked pipeline,roc_auc,0.001249161636485585,-0.005198233671127206,0.007735103833969268,0.732,500,False,0.41999999999999993,0.41999999999999993
7,3,0,2634,878,878,locked pipeline,auprc,-0.0018957892040384339,-0.01914265694295377,0.014249922391293458,0.824,500,False,0.41999999999999993,0.41999999999999993
7,3,0,2634,878,878,locked pipeline,brier,-8.139567441668716e-05,-0.0021647932148668473,0.0018626734209947833,0.972,500,False,0.41999999999999993,0.41999999999999993
7,3,0,2634,878,878,independently optimized,f1_macro,-0.00877519478468014,-0.029783638266021237,0.013324305536538577,0.376,500,False,0.41999999999999993,0.4499999999999999
7,3,0,2634,878,878,independently optimized,roc_auc,0.0005197853789402629,-0.005897084114351336,0.007089358576698199,0.828,500,False,0.41999999999999993,0.4499999999999999
7,3,0,2634,878,878,independently optimized,auprc,-0.0022934924346201813,-0.020706319154942816,0.01727573296591196,0.8,500,False,0.41999999999999993,0.4499999999999999
7,3,0,2634,878,878,independently optimized,brier,5.1887646668719034e-05,-0.0020277508303195332,0.0021938973174698354,0.944,500,False,0.41999999999999993,0.4499999999999999
7,3,1,2634,878,878,locked pipeline,f1_macro,-0.00030844536476970497,-0.018206953848578986,0.015360651847376554,0.956,500,False,0.4099999999999999,0.4099999999999999
7,3,1,2634,878,878,locked pipeline,roc_auc,0.00586016096579467,0.0016708307719787375,0.010237083123650667,0.012,500,True,0.4099999999999999,0.4099999999999999
7,3,1,2634,878,878,locked pipeline,auprc,0.01105923500869499,-0.0020576031380960917,0.022222001669330013,0.108,500,False,0.4099999999999999,0.4099999999999999
7,3,1,2634,878,878,locked pipeline,brier,-0.001926198319821923,-0.003431849598690734,-0.0004304583372396063,0.016,500,True,0.4099999999999999,0.4099999999999999
7,3,1,2634,878,878,independently optimized,f1_macro,0.0074489327441596975,-0.024838803614760378,0.03436356021508648,0.648,500,False,0.4099999999999999,0.27999999999999997
7,3,1,2634,878,878,independently optimized,roc_auc,0.004988262910798125,-0.00040821847785814104,0.010323982349610473,0.072,500,False,0.4099999999999999,0.27999999999999997
7,3,1,2634,878,878,independently optimized,auprc,0.004649885442079893,-0.00960767235115958,0.016782487231240376,0.464,500,False,0.4099999999999999,0.27999999999999997
7,3,1,2634,878,878,independently optimized,brier,-0.0013618887147043013,-0.0028883883210652096,0.00013576795544997247,0.088,500,False,0.4099999999999999,0.27999999999999997
7,3,2,2634,878,878,locked pipeline,f1_macro,0.0008726982073489209,-0.01754487903039373,0.02167811967190407,0.968,500,False,0.3499999999999999,0.3499999999999999
7,3,2,2634,878,878,locked pipeline,roc_auc,0.00036721442818854477,-0.004263657505005744,0.0061628778553007735,0.812,500,False,0.3499999999999999,0.3499999999999999
7,3,2,2634,878,878,locked pipeline,auprc,-0.0002818142352667419,-0.014324367988170914,0.014919597293138144,0.944,500,False,0.3499999999999999,0.3499999999999999
7,3,2,2634,878,878,locked pipeline,brier,0.0001235968458173642,-0.0016767834158365705,0.0017595303857040692,0.904,500,False,0.3499999999999999,0.3499999999999999
7,3,2,2634,878,878,independently optimized,f1_macro,-0.014433860606580695,-0.033586004605271905,0.005874009925943372,0.116,500,False,0.3499999999999999,0.3999999999999999
7,3,2,2634,878,878,independently optimized,roc_auc,-0.00035052286327130755,-0.0062569346815921295,0.0059150177646338335,0.936,500,False,0.3499999999999999,0.3999999999999999
7,3,2,2634,878,878,independently optimized,auprc,-0.0021710955087871353,-0.018264743320500727,0.014966006385024303,0.74,500,False,0.3499999999999999,0.3999999999999999
7,3,2,2634,878,878,independently optimized,brier,0.0004841887666982708,-0.001460087495659916,0.002290183330592016,0.628,500,False,0.3499999999999999,0.3999999999999999
7,3,3,2634,878,878,locked pipeline,f1_macro,0.01610212819822321,-0.003774197230437609,0.03821311546233397,0.12,500,False,0.37999999999999995,0.37999999999999995
