seed,feature_set,fold,model,n_train,n_test,events_test,eval_times,brier_grid,inner_best_c,c_harrell,metric_failures,c_uno,auc_time_dependent,auc_at_last_time,integrated_brier
5,CV17_THY_CONT,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7602635145567774,,0.7423422101806559,0.791158983368104,0.7843164816432994,0.08426224177499514
5,CV17_THY_CONT,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8099854681336932,,0.7976651801659059,0.8389742895492102,0.8380539670157967,0.09142864448446747
6,CV17,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7878157652344613,,0.7840687316263246,0.8277247643728285,0.8407391277274155,0.08322050130074364
6,CV17,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7889825282631038,,0.7856735661395997,0.8419966646971881,0.8380585652714438,0.08698726086676588
6,CV17,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7936787113626469,,0.7782234634020986,0.8315247764329079,0.8238834029973412,0.08965066048673907
6,CV17,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7738939228982178,,0.7720081226287463,0.8127448036092862,0.8189173246938032,0.08651066860705553
6,CV17,4,Cox,6451,1612,201,"7.000,10.000",0.143-13.886,,0.8010962720692892,,0.7897743551686405,0.8368453272402203,0.8334127425436719,0.0845143206610891
6,CV17_THY_CONT,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7906540575910775,,0.786892584316145,0.8301686420783828,0.8431424946172034,0.08273564308283059
6,CV17_THY_CONT,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7905817060637205,,0.7866184801038628,0.8364298761706966,0.8316871820137511,0.08733646504959458
6,CV17_THY_CONT,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7937091858946452,,0.7788506163097907,0.8314925459517534,0.8234348478336335,0.08982201580409974
6,CV17_THY_CONT,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7772929507676745,,0.7740098922952295,0.8146846283692497,0.8211636354439213,0.08530345630351224
6,CV17_THY_CONT,4,Cox,6451,1612,201,"7.000,10.000",0.143-13.886,,0.8039472716496429,,0.790461952006037,0.8376332291033038,0.832841853574558,0.08601436982164032
7,CV17,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7850643409356087,,0.7727632780962957,0.8231367236311973,0.8086583894595161,0.08640021022149519
7,CV17,1,Cox,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7972131517698962,,0.7911853198538267,0.8434248510033375,0.8461249503288076,0.08403242511259854
7,CV17,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.775898582146197,,0.76941215626734,0.8179798438158582,0.8208395177027796,0.08631273287384642
7,CV17,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8055060584461867,,0.7958733937950496,0.8324334422568075,0.8347274881063967,0.08367025291108705
7,CV17,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7857551048259156,,0.7871509149588274,0.8395716873963077,0.8515837234028034,0.08813655372735704
7,CV17_THY_CONT,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7873601329628728,,0.7743991783522418,0.823715782238752,0.8101574064585916,0.0858304159581032
7,CV17_THY_CONT,1,Cox,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7994711154340501,,0.7927852167495203,0.843884758800859,0.8474117120155567,0.0830029942740259
7,CV17_THY_CONT,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7786244176147682,,0.7714903731491451,0.8194639206728889,0.821872051761881,0.08639235176921815
7,CV17_THY_CONT,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8083867902114517,,0.7994908852565907,0.8317718847022275,0.8328750967729285,0.08282851081306138
7,CV17_THY_CONT,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7881731802596339,,0.7893675880209956,0.8415532386652793,0.852116166452984,0.09014221189732224
8,CV17,0,Cox,6450,1613,202,"7.000,10.000",0.147-14.306,,0.792537988345406,,0.7842116094785951,0.8332703899207274,0.828507334790836,0.08179243179678533
8,CV17,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7843804803346041,,0.7732588723240645,0.8332583566007761,0.8171315563426196,0.08751137098596184
8,CV17,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7955375748750991,,0.7871261577516813,0.833936462320438,0.8392483424596737,0.08669169817253125
8,CV17,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7771906630152039,,0.7690012089965852,0.8132492765415351,0.8130485856226619,0.08835788975224039
8,CV17,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8003222513729427,,0.8025455576613355,0.8424187875354026,0.8626587069882494,0.08562175094034295
8,CV17_THY_CONT,0,Cox,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7951146262595238,,0.785346271625135,0.8341190079805584,0.8280060635385607,0.08160553495713108
8,CV17_THY_CONT,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7873815424388878,,0.7759854745098559,0.8322358150295824,0.8166905319578401,0.08952658314652823
8,CV17_THY_CONT,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7971724023681022,,0.7888541370541065,0.8344255129336233,0.8404612606982307,0.0866825448245586
8,CV17_THY_CONT,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7793326064747645,,0.7708078091245152,0.8140989200272586,0.8137087907969349,0.08772926313760178
8,CV17_THY_CONT,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8016382517441223,,0.8035302905322146,0.8431788018561706,0.8634683283583661,0.08405673761026328
9,CV17,0,Cox,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7884120878424882,,0.7883949730041164,0.8212151757779143,0.8472827058039955,0.0790590717239736
9,CV17,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7746471901027594,,0.7667432593003086,0.8170986721649879,0.8250507294602449,0.08531179927116632
9,CV17,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8089613655414158,,0.7971675383728178,0.8503707695737173,0.8398486187745373,0.0870182175501143
9,CV17,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.775304305907064,,0.756732407109389,0.8174591672313304,0.8019998569001714,0.08995724292971423
9,CV17,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.795374014461108,,0.8009299549600077,0.845389288010108,0.8456945316166692,0.09144981938035834
9,CV17_THY_CONT,0,Cox,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7900503730476749,,0.7897380107675036,0.8214266754809443,0.8473854246154886,0.07889150987094883
9,CV17_THY_CONT,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7762890297882522,,0.7684883281444532,0.817816965195789,0.825474466770418,0.0847040475021839
9,CV17_THY_CONT,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8107817487532492,,0.7983877747884656,0.8516570596246513,0.8392253532805917,0.08780021958376794
9,CV17_THY_CONT,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7783172356799752,,0.7589009674932882,0.8195242301211771,0.8037878439042412,0.08960845875967409
9,CV17_THY_CONT,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7987997018867431,,0.8032735583279412,0.8427051751023705,0.8441690780889894,0.0909829482374846
