draw,horizon,n_oob,c_base,c_thy,delta
150,,2972,0.787086094856293,0.7883805890530535,0.0012944941967605317
151,,2936,0.7857521938362934,0.7876725867800772,0.0019203929437838774
152,,2961,0.7955419581512923,0.7967539671719415,0.0012120090206492184
153,,2990,0.7717507271619831,0.7722374751199439,0.00048674795796077586
154,,3026,0.7889062009008065,0.7889280227645683,2.182186376176176e-05
155,,2992,0.8041668732953137,0.804480535581453,0.0003136622861393823
156,,2988,0.781464420320201,0.784710813316296,0.003246392996094971
157,,3018,0.7999706101912101,0.7972914352219225,-0.002679174969287601
158,,2973,0.7719184143053517,0.7742712000114012,0.002352785706049465
159,,2935,0.7702160730116535,0.7733221305959539,0.0031060575843003813
160,,2985,0.7779078700971457,0.7802994049661753,0.0023915348690296545
161,,2995,0.7923681391211188,0.7943326605574793,0.0019645214363605
162,,2973,0.7805596311045903,0.7812696499685601,0.0007100188639698191
163,,2954,0.7889702259091994,0.7920220575161672,0.0030518316069677587
164,,2940,0.7849682585094544,0.7883018397083085,0.0033335811988540742
165,,2997,0.7836548691396553,0.7855970872638721,0.001942218124216799
166,,2921,0.7859942443439799,0.7876617708544729,0.001667526510492956
167,,2959,0.78042043864974,0.7810512285887725,0.0006307899390325389
168,,2943,0.7752715089592608,0.7766534389037193,0.0013819299444585154
169,,2967,0.7849530915178112,0.7876854780442528,0.002732386526441588
170,,2913,0.7993067107451938,0.8022125244783223,0.0029058137331284817
171,,3001,0.7802051975489104,0.7820496840451289,0.0018444864962184893
172,,2980,0.7800689837890572,0.7813862621730636,0.001317278384006415
173,,2975,0.7931184691508668,0.7954477299401785,0.0023292607893117268
174,,2958,0.7881967145995479,0.7876951658117733,-0.0005015487877745306
175,,2985,0.7970016123634814,0.8002689300599313,0.003267317696449834
176,,2954,0.8074748267749204,0.8097940180516806,0.0023191912767601686
177,,2956,0.7818013599486662,0.7851166700657093,0.003315310117043113
178,,2932,0.7781325979773607,0.7793328860464973,0.0012002880691366347
179,,2960,0.7856385734305134,0.7843983584758367,-0.0012402149546766328
180,,2915,0.7859074611158021,0.7901403624704774,0.004232901354675245
181,,2984,0.7763814752681613,0.7796070357378883,0.0032255604697269957
182,,2911,0.7719755322525342,0.7769363820721108,0.004960849819576563
183,,2967,0.7900198869999966,0.792802247719931,0.002782360719934429
184,,3034,0.7925561166422785,0.7948861408391434,0.0023300241968648994
185,,2952,0.778955648786335,0.7820802289894909,0.003124580203155869
186,,2957,0.7947988051309085,0.7948703931483759,7.158801746742771e-05
