draw,horizon,n_oob,c_base,c_thy,delta
164,7.0,2940,0.7825595060835532,0.7861476856972688,0.003588179613715603
164,10.0,2940,0.7827654487509412,0.7857090338398193,0.0029435850888780424
165,7.0,2997,0.7826653902226894,0.7837929157359262,0.0011275255132368045
165,10.0,2997,0.7816291243957891,0.7825485756863644,0.0009194512905752461
166,7.0,2921,0.7881376978151172,0.7887638371509339,0.0006261393358166778
166,10.0,2921,0.7856603848153669,0.7856974361697792,3.705135441223195e-05
167,7.0,2959,0.7842461490920484,0.7832504281171002,-0.0009957209749481555
167,10.0,2959,0.7778836528965161,0.776221131396665,-0.0016625214998510218
168,7.0,2943,0.7754204253629204,0.7753977699031546,-2.2655459765874575e-05
168,10.0,2943,0.7746338021376665,0.7732149519900706,-0.001418850147595907
169,7.0,2967,0.7855394692504596,0.7882987402235793,0.0027592709731196763
169,10.0,2967,0.7802882032256773,0.7820989692031662,0.0018107659774889706
170,7.0,2913,0.7971959415236276,0.7996802682627259,0.0024843267390982637
170,10.0,2913,0.7935350428257008,0.7960846967728249,0.002549653947124142
171,7.0,3001,0.7778288415897228,0.7791900440840926,0.0013612024943698842
171,10.0,3001,0.7740083394752498,0.7748316311450351,0.000823291669785231
172,7.0,2980,0.7817586143755376,0.7813923955584771,-0.0003662188170605596
172,10.0,2980,0.7774506267528548,0.7762873614722046,-0.0011632652806502497
173,7.0,2975,0.7940690197062747,0.795002087124488,0.000933067418213307
173,10.0,2975,0.7908247009045812,0.7909250072950103,0.0001003063904290169
174,7.0,2958,0.7878326446759811,0.7852820450601388,-0.002550599615842364
174,10.0,2958,0.7880848815254445,0.7841372332953133,-0.003947648230131273
175,7.0,2985,0.7982063361771049,0.8010993841736918,0.0028930479965868505
175,10.0,2985,0.795921019720548,0.7983474661474553,0.0024264464269073693
176,7.0,2954,0.8130251256281407,0.8134793969849247,0.0004542713567839973
176,10.0,2954,0.8058704258231608,0.8054571390284254,-0.0004132867947354013
177,7.0,2956,0.7824891142220766,0.7853852996849646,0.0028961854628880568
177,10.0,2956,0.7791267131884131,0.7814197499874491,0.00229303679903603
178,7.0,2932,0.7777800908698209,0.7790395694873089,0.0012594786174879857
178,10.0,2932,0.7743389881369404,0.7751623467207637,0.0008233585838233193
179,7.0,2960,0.7842173609282923,0.7837313440392054,-0.0004860168890868932
179,10.0,2960,0.7778779241886343,0.7771983402330481,-0.0006795839555862049
180,7.0,2915,0.7841726713266859,0.7886797809668269,0.004507109640141005
180,10.0,2915,0.7829082618725796,0.7870568017588825,0.004148539886302927
181,7.0,2984,0.7745909622126996,0.7792318638272085,0.004640901614508919
181,10.0,2984,0.7716422542363752,0.7751598499090786,0.0035175956727033775
182,7.0,2911,0.7727975438305982,0.7783550071461826,0.005557463315584377
182,10.0,2911,0.7656667145849592,0.7703855967881054,0.004718882203146202
183,7.0,2967,0.7901765696765515,0.7929881115406522,0.0028115418641007084
183,10.0,2967,0.7879589273672919,0.7903825744696197,0.002423647102327786
184,7.0,3034,0.7912381676005952,0.7941064361921043,0.0028682685915091266
184,10.0,3034,0.7893231511312152,0.7918253115949103,0.0025021604636951134
185,7.0,2952,0.778895524208752,0.7818148801206556,0.0029193559119036205
185,10.0,2952,0.7755956934188821,0.7782404733284418,0.0026447799095596913
186,7.0,2957,0.7951702814074285,0.7941512767611029,-0.0010190046463256497
186,10.0,2957,0.7909902138436897,0.7890650683400354,-0.001925145503654302
187,7.0,3016,0.7994751386912495,0.799650436181402,0.00017529749015243734
