horizon,feature_set,model,protocol,threshold,signature,cache_hit,best_cv_score,split,n,f1_macro,roc_auc,precision_1,recall_1,precision_0,recall_0,brier
10,CV17,LogisticRegression,paper_random_search,0.5,6283ad9036facc91bd2c187f9cb031c032aa7b485ad86048fc70973b46903727,True,0.7823466559561744,validation,523,0.7280291211648466,0.8085570733239128,0.6367924528301887,0.6994818652849741,0.8135048231511254,0.7666666666666667,0.17472941116374416
10,CV17,LogisticRegression,paper_random_search,0.5,6283ad9036facc91bd2c187f9cb031c032aa7b485ad86048fc70973b46903727,True,0.7823466559561744,test,523,0.7530157578779946,0.8547646022155085,0.6413502109704642,0.7916666666666666,0.8601398601398601,0.743202416918429,0.16245607457154168
10,CV17,SVC,paper_random_search,0.5,c09b98e9a863e5312295b7b38a9dd1e7b8074a3dcba26dce1b20d2d3d6af768f,True,0.7214495304581019,validation,523,0.5220727897307823,0.6396922593813785,0.5131578947368421,0.20207253886010362,0.6554809843400448,0.8878787878787879,0.22114772623167453
10,CV17,SVC,paper_random_search,0.5,c09b98e9a863e5312295b7b38a9dd1e7b8074a3dcba26dce1b20d2d3d6af768f,True,0.7214495304581019,test,523,0.5780021670470525,0.6880979355488419,0.5913978494623656,0.2864583333333333,0.6813953488372093,0.8851963746223565,0.20900511158084262
10,CV17,KNeighbors,paper_random_search,0.5,d48081bed78ea1ff3e38e4d47bd6059a304ce6b4735cdeb8004d386a973977e6,True,0.7262238954196971,validation,523,0.6617683260108564,0.736771863714869,0.6301369863013698,0.47668393782383417,0.7320954907161804,0.8363636363636363,0.20265710801581288
10,CV17,KNeighbors,paper_random_search,0.5,d48081bed78ea1ff3e38e4d47bd6059a304ce6b4735cdeb8004d386a973977e6,True,0.7262238954196971,test,523,0.6993251124812532,0.7942078927492446,0.6824324324324325,0.5260416666666666,0.7573333333333333,0.8580060422960725,0.18041321319206605
10,CV17,RandomForest,paper_random_search,0.5,1f6a36392bb600b1803462133f16466fe641e5c9fda947d023a92d221264771d,True,0.7895586533191857,validation,523,0.7266675835510934,0.8033600251216831,0.65625,0.6528497409326425,0.797583081570997,0.8,0.17002965051323918
10,CV17,RandomForest,paper_random_search,0.5,1f6a36392bb600b1803462133f16466fe641e5c9fda947d023a92d221264771d,True,0.7895586533191857,test,523,0.7583373112099746,0.8553468026183282,0.6591928251121076,0.765625,0.85,0.770392749244713,0.15203939366843683
10,CV17,AdaBoost,paper_random_search,0.5,cec2b12f13842f18c0a95ab38f9983ac3cfe9302637125c85aaebabd2c9e13e1,True,0.7805792823173754,validation,523,0.7259627980089075,0.7935076150102057,0.7044025157232704,0.5803108808290155,0.7774725274725275,0.8575757575757575,0.18785992532070514
10,CV17,AdaBoost,paper_random_search,0.5,cec2b12f13842f18c0a95ab38f9983ac3cfe9302637125c85aaebabd2c9e13e1,True,0.7805792823173754,test,523,0.7600663443554363,0.8537103474320241,0.6923076923076923,0.703125,0.8262195121951219,0.8187311178247734,0.17377660254561766
10,CV17,MLP,paper_random_search,0.5,56969739f29ffa7014c48156e2d31dc144e2488fb5eab679abf31695062301f6,True,0.7939924155871889,validation,523,0.7197122255424191,0.804270686135971,0.6848484848484848,0.5854922279792746,0.776536312849162,0.8424242424242424,0.16679418878962737
